id,log vol score,no vol score,score,mean volume,volatility,long mom,short unweighted mom,long unweighted mom
2790,-156.01752388396824,-10.217564570240596,-179.31884627310242,60418.83861963444,5.6979870117384405e-05,-8.240035187293518,-15.975596548500825,-8.414591357874523
2800,-140.52272220411623,-9.066210094716554,-164.8890850512086,84466.28804484758,5.498368853160241e-05,-6.528820183419708,-14.80777949364644,-8.399420518380357
2810,-64.93220947747538,-4.2090640007523925,-75.6874981814647,70775.11060568807,5.561108639977692e-05,-6.144488694128877,-4.80080689949952,0.2535282847477099
2820,-194.79304247937844,-11.629185674147875,-260.2097958051456,67430.69337198307,4.469157526589132e-05,-9.724261845014214,-18.22849072817063,-8.839728278392432
2830,-126.39754161705825,-9.765921151192009,-121.10422489332514,115489.06233072968,8.064063132227086e-05,-4.460395436657318,-19.589533382554137,-10.553360348899265
2840,-494.21006927331695,-36.36276456676457,-496.3215490690507,126459.4107135646,7.326452908395804e-05,-25.43137682706996,-70.59248719008323,-23.99581742283513
2850,-125.60432782437604,-7.4071326032676135,-172.14829324574234,42379.47503542552,4.302762730673085e-05,-5.792647831757356,-12.12539279131635,-5.917841958239394
2860,-94.52994269199668,-8.163940535868331,-82.47038559075519,174871.86145583267,9.899238953944576e-05,-3.294412214341334,-29.20715671623749,3.140219001446836
2870,-300.9078115106991,-23.10992227743988,-289.91237262760995,146002.92964290178,7.971347365406989e-05,-12.149862143661364,-51.68993923786336,-16.45002558457342
2880,-213.0378582487905,-16.953131027074594,-198.78514785038328,175114.97229799823,8.528369050908402e-05,-15.755379388167093,-18.672964766281574,-17.62880056568264
2890,-66.89709398521143,-3.6418371541303554,-127.06245918302275,30181.34701710472,2.8661787104911893e-05,-2.526050683464711,-6.961288299232983,-2.5539589503590165
2900,-83.92452161252488,-5.214310848893692,-104.2974609167874,49779.78202186248,4.999460967754404e-05,-4.683963889719951,-6.970266843871059,-4.519048772263801
2910,-97.09594162846867,-5.558690153676823,-143.11893384095237,36795.13191191192,3.883965597350088e-05,-4.076384389349957,-9.387876652434748,-4.694115183572629
2920,-124.30919136429208,-7.07217422504015,-186.59392435097632,50174.88142991977,3.7901417474545685e-05,-6.705621438809014,-8.644759564152919,-6.232694458389656
2930,-173.38443437354175,-11.584767469598189,-194.1147374900808,94551.83372988668,5.967999967127775e-05,-10.343544761505283,-14.150363004250003,-11.50161735113218
2940,-248.6524109103241,-16.478125751309094,-281.33604464834514,109986.5508240675,5.85709725602557e-05,-15.650175525896833,-16.33822666797907,-18.27392528546365
2950,-42.211930231738855,-3.2428244458508395,-40.6587489624203,118421.07166136568,7.975711325619212e-05,-2.448477351107601,-5.304285149669366,-2.770057931518789
2960,-89.49782240054213,-5.328949597839065,-120.1953683341193,44317.83656609195,4.433573166501426e-05,-3.6078797652692263,-9.683967948066444,-4.416070912751364
2970,-207.4133554335257,-15.952704781940737,-199.56426851934305,108423.05303583007,7.99376807296267e-05,-11.898896059512342,-24.72945946595167,-15.283567542786596
2980,-86.65038470910373,-5.271010888245558,-111.68145600078182,54667.91135276038,4.719683174804471e-05,-3.724245641183704,-8.314430440618667,-5.321121829996155
2990,-177.35841097689692,-13.269130220815171,-175.1926626890208,95289.64691839414,7.574021661151872e-05,-10.423534062248216,-23.07523575389382,-9.154217004870423
3000,-258.3012325090212,-17.889654424883243,-276.8769842199644,81880.77037050636,6.461228431566144e-05,-14.372545103903535,-24.32894169576362,-18.48458579596228
3010,-141.7810399199534,-9.07121254762708,-168.38185593281844,62168.48020205312,5.387286235428088e-05,-7.023389334631444,-14.72465730897722,-7.51341421226822
3020,-92.85501763681472,-5.331051360965854,-135.79652319633223,39049.85727038698,3.925764250428057e-05,-5.076412872111114,-7.102983674480953,-4.068396025160236
3030,-148.10410533902913,-9.119681772804496,-186.84163485366517,67283.32379346766,4.880968730522538e-05,-6.03621957975881,-17.029773261788076,-7.376514669912287
3040,-127.8118236859742,-8.221844888949509,-150.6066266173095,70365.1000164636,5.459152145968427e-05,-6.643036729497166,-12.441916122334296,-7.159389974469405
3050,-374.4122327260508,-23.135159410337344,-469.5670076785505,71565.81865544117,4.926913312055961e-05,-20.81122332716889,-33.73188494450824,-17.186306042503343
3060,-148.68160504554473,-8.652208144244605,-210.06974506012668,49752.8975926235,4.1187312060421405e-05,-6.9877494180730535,-12.802678760398514,-7.830654980433803
3070,41.546288230691864,2.9649925035552047,43.07124578366027,81714.19650509674,6.883925574031155e-05,5.640013188489397,2.722985909279764,-2.14304227203774
3080,-206.19590795415027,-15.378142618211672,-204.30645163241596,138948.4413048902,7.526998044036179e-05,1.142201480379062,-69.39274628352788,5.595772849923086
3090,-922.797650589455,-82.28305535956302,-785.8292370823248,175958.04835996637,0.0001047085695934,-68.11343160440278,-111.96238940960532,-80.94296882013977
3100,-129.0334409243699,-7.818454336587451,-167.5074625849008,62666.56412904292,4.667525981193038e-05,-7.983633294546253,-7.113344869052147,-8.193205888205151
3110,-113.27191823478535,-6.642535628399751,-157.1905518867338,60648.57507191184,4.225785550512055e-05,-6.394621107996197,-8.507820128380974,-5.273080169225634
3120,-102.19740821588209,-6.0909704667330615,-136.9822599703073,60805.54213178941,4.4465396234909245e-05,-5.247011480804608,-8.546252646741683,-5.323606258581347
3130,-105.24813711220366,-6.769257246188369,-124.04813699062905,73799.13793245809,5.456960024074959e-05,-5.46708702532234,-11.803920963489334,-4.3389339706194585
3140,-67.82730368218975,-3.9691708585425522,-94.58063415282838,38785.969461077846,4.196599963718743e-05,-3.437459960379825,-5.659420323210396,-3.3423431902001632
3150,-214.68753000941783,-15.139881144858768,-225.48000862889936,121270.4854870615,6.71451151564233e-05,-11.145947272258496,-25.16479804303778,-13.102831991880308
3160,-244.13753961808175,-16.493262395503983,-269.5755997665651,78214.21044829434,6.118232662669051e-05,-14.812654937013342,-19.515516227484813,-16.832223480504418
3170,-263.7932026109792,-16.76547771072872,-316.3913211290633,73357.4438475008,5.298968900569082e-05,-14.672045386710126,-23.12500142969513,-14.592818639799482
3180,-126.16890542827603,-7.359549886618105,-177.25785966102612,41240.82764652617,4.151889174726539e-05,-6.288455552666443,-10.80782112690896,-6.0534673142305735
3190,-142.42746406758334,-8.433618511792792,-193.49995738132372,45779.00112000664,4.358460139178713e-05,-6.189003823610117,-14.126595397509854,-7.229871002441092
3200,-96.43999215379421,-5.865593792248864,-124.33463492944549,63549.28653759384,4.717586371309438e-05,-5.217145425482045,-8.760160452232927,-4.267923865798439
3210,-111.94282109575283,-7.047442716919025,-136.2190438046759,45266.22650141407,5.1736104733082206e-05,-5.085645912454655,-11.701842714237625,-6.316636328529161
3220,-117.25090477685012,-6.698652256315176,-173.8453629492279,39131.93251764313,3.853224579980047e-05,-5.23137577705142,-11.37585170359386,-4.956005767564003
3230,-320.55674936031545,-22.43190374681461,-339.5858426458316,107029.37236326108,6.605665174978979e-05,-4.888304602849531,-55.82374402945147,-24.127261752107927
3240,-91.16260506829849,-6.349214691056455,-97.09398427709144,74257.08088990752,6.539246214200834e-05,-6.263161053004922,-6.7488067638783455,-6.121729894337632
3250,-149.98123899780407,-9.29300696464004,-187.2338436495345,63372.840859404445,4.963315810593917e-05,-8.458370139324227,-11.45425154232001,-8.801036037591697
3260,-176.71168564463815,-13.948908508886058,-166.06955473828293,182877.98959371884,8.399437531381847e-05,-14.641918413026351,-8.037041155373306,-18.474756054118217
3270,-66.2520538134743,-3.740542784812167,-101.87482117373418,27335.34227436673,3.67170488420604e-05,-2.8723222754209328,-5.868622912543118,-3.348903675863684
3280,-88.91967033367308,-5.0380101248963856,-135.18008580284473,32302.25329318781,3.726887799319895e-05,-3.0257608444420856,-9.968628001459445,-4.13189080924192
3290,-192.68941117155472,-13.387024290410658,-205.80890770802375,105513.6284859316,6.504589349165836e-05,-8.195239481510772,-24.81243759531623,-12.345180603304875
3300,-167.3104110948945,-11.215715851870462,-186.5372506923932,56174.12622102649,6.012587732605533e-05,-9.106721406608065,-17.227046386971683,-9.42237420729404
3310,-117.24126950022712,-7.475800383460617,-139.93291140182842,67537.40405705958,5.342417526062375e-05,-5.67788556580832,-11.578165873148894,-6.969264529076934
3320,-123.49424943927555,-6.868497754978069,-200.9892920216093,30080.82878914405,3.417345116196342e-05,-4.715060096440006,-12.55035091731367,-5.493519909718594
3330,-183.51535457225899,-26.08648528456086,-118.8192172254581,372518.74641863554,0.0002195476951768,-14.855088022955243,-43.17062124966699,-31.465143842705967
3340,-130.75877509204716,-9.091342568886787,-139.5398258530463,79878.33712926801,6.515231413905562e-05,-8.691800094745062,-10.803318538343984,-8.178451547713038
3350,-131.57946301076245,-8.998944958408085,-143.14306438933343,65638.45000624402,6.286678992655867e-05,-2.6474990058892764,-26.673906754175672,-4.026875067678119
3360,-293.98535400766616,-22.724598743182817,-281.5569444700976,98510.13240555098,8.071048926160034e-05,-18.388769041444107,-32.818956726951576,-21.30190016289149
3370,-207.27505907934477,-14.828528664920512,-214.32110991697357,71482.57079296026,6.918837192782818e-05,-12.651904544072975,-20.999766258090684,-13.010539313445388
3380,-70.90501511905275,-5.056680437818892,-73.56280885784871,79413.44250325415,6.873963238122568e-05,-6.761299082425711,-1.2645415718297786,-5.43958201459437
