id,no vol score,log vol score,score,mean volume,volatility,short mom,long mom,short unweighted mom,long unweighted mom
1660,-11.451179616116905,-52.053250302190605,-126.89573941518478,81690.69993755204,9.024085181181912e-05,-43.36028940839368,-18.829459484810684,-38.33856048480346,-18.18798393189472
4890,-8.784063447178376,-45.353605656891965,-126.63568502135928,105662.97439451696,6.936483539925412e-05,-22.305941573225727,-18.00812501847326,-27.33641685374279,-21.027742317642087
1060,-11.060589657318763,-50.82726987427641,-125.51750396458723,91896.69474915307,8.811989808560353e-05,-37.60093369975149,-17.082701775960295,-41.0947452779888,-18.945625668534174
1330,-7.956823502730882,-43.03550158676966,-125.24883794380904,53860.76915066439,6.352812236310399e-05,-21.83833164469729,-11.307659663118256,-33.31436468355372,-14.77686522445741
2580,-25.60708101247975,-84.3692674396633,-123.09046657756262,374286.17289981584,0.0002080346408984,-33.86697185572349,-62.00961132833154,-71.9057695819479,-69.27560267243413
1940,-13.057876960230992,-55.28618249774567,-123.06243759062586,135179.4732754515,0.0001061077386072,106.24081514625894,17.28279737705545,-44.61223928690209,-43.33564152976943
1170,-12.462968979945614,-53.78641772910445,-122.83106910428636,137523.3851903192,0.0001014643043558,-33.27562273443986,-24.891789651828443,-44.12413452950828,-25.47854733048262
450,-8.59964328524037,-44.111352590071,-122.4080680549948,70013.49811952311,7.025389275302319e-05,-20.582985383414226,-15.811030883200363,-30.00939791174025,-20.4711807341887
4930,-6.709859985620605,-39.427608422548005,-122.3554852845065,76126.89707938791,5.4839061526490094e-05,-4.679100633298397,-13.93989005514794,-23.44127133135302,-18.176519236268817
2540,-45.294022147286775,-125.41328132936373,-122.33513275725532,507247.51183970855,0.0003702454162302,-126.19679764469647,-98.80442972769134,-131.99673749319328,-102.4264194673282
4960,-25.567243154359478,-84.03014372290397,-121.97969412830398,507480.494672547,0.0002096024534007,-51.52981067959368,17.795981249834306,-134.16403123993163,-41.89693569093515
3420,-7.69019609598771,-41.75971916589313,-121.94645213276218,76294.96448064665,6.30620732419132e-05,-17.617249290240192,-11.15981689900834,-32.84149147229858,-15.668345711856322
4370,-5.323054418692925,-36.11828900397913,-121.92837750719936,59807.16883536887,4.365722342510972e-05,-21.071319492411373,-11.539803675590784,-10.717008801441496,-9.870860647719088
1430,-7.554411114481865,-41.39150534121776,-121.77686108435648,75672.32198431471,6.203486481104832e-05,-29.971792309088723,-14.578670511647612,-19.93309470883104,-12.918527695776929
